States_and_territories,Year,Age
NSW,2018,25-74
Vic,2018,25-74
Qld,2018,25-74
WA,2018,25-74
SA,2018,25-74
Tas,2018,25-74
ACT,2018,25-74
NT,2018,25-74
NSW,2019,25-74
Vic,2019,25-74
Qld,2019,25-74
WA,2019,25-74
SA,2019,25-74
Tas,2019,25-74
ACT,2019,25-74
NT,2019,25-74
NSW,2020,25-74
Vic,2020,25-74
Qld,2020,25-74
WA,2020,25-74
SA,2020,25-74
Tas,2020,25-74
ACT,2020,25-74
NT,2020,25-74
NSW,2021,25-74
Vic,2021,25-74
Qld,2021,25-74
WA,2021,25-74
SA,2021,25-74
Tas,2021,25-74
ACT,2021,25-74
NT,2021,25-74
NSW,2022,25-74
Vic,2022,25-74
Qld,2022,25-74
WA,2022,25-74
SA,2022,25-74
Tas,2022,25-74
ACT,2022,25-74
NT,2022,25-74
